Amended From,معدل من,
Area,منطقة,
Asset,الأصول,
Automatically Create New Batch,إنشاء دفعة جديدة تلقائيا,
Background Jobs,خلفية عن الخبرات السابقة,
Batch No,رقم دفعة,
Compact Item Print,مدمجة البند طباعة,
Completed Qty cannot be greater than 'Qty to Manufacture',لا يمكن أن تكون الكمية المكتملة أكبر من &quot,الكمية إلى التصنيع&quot
Corrective Action,اجراء تصحيحي,
Date,تاريخ,
Department,قسم,
Description,وصف,
GitHub Sync ID,معرف مزامنة جيثب,
Hello,مرحبا,
Hub Sync ID,معرف مزامنة المحور,
Is Billing Contact,هو جهة اتصال الفوترة,
Is Your Company Address,يكون عنوان شركتك,
Item Code,رمز السلعة,
Item Name,اسم السلعة,
Job Card,بطاقة عمل,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Logout,خروج,
Manufacturing,التصنيع,
Minimum Qty,الكمية الدنيا,
Name,اسم,
Nationality,جنسية,
Not permitted,غير مسموح به,
Notes,ملاحظات,
Operation,عملية,
Print UOM after Quantity,اطبع UOM بعد الكمية,
Print taxes with zero amount,طباعة الضرائب مع مبلغ صفر,
Product,المنتج,
Production Item,بند انتاج,
Qty,الكمية,
Quality Manager,مدير الجودة,
Quantity to Manufacture must be greater than 0.,"""الكمية لتصنيع"" يجب أن تكون أكبر من 0.",
Reference,مرجع,
Release Date,تاريخ النشر,
Reload,تحديث,
Room,قاعة,
Sample Details,تفاصيل العينة,
Session Defaults,الجلسة الافتراضية,
Standard,اساسي,
Status,الحالة,
Supplier,المورد,
System Manager,مدير النظام,
Tax Category,الفئة الضريبية,
Title,اللقب,
UOM,وحدة القياس,
View Website,مشاهدة الموقع,
Work Order,أمر العمل,
Workstation,محطة العمل,
{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3},{0} ({1}) لا يمكن أن يكون أكبر من الكمية المخطط لها ({2}) في أمر العمل {3},
{0} Operations: {1},{0} العمليات: {1},
{0} items in progress,{0} العنصر قيد الأستخدام,
{0} items produced,{0} عناصر منتجة,
d,يوم,Days (Field: Duration)
h,سا,Hours (Field: Duration)
m,د,Minutes (Field: Duration)
s,ثا,Seconds (Field: Duration)
